"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 03 14:21:43 GMT 2025","Mon Nov 03 14:21:45 GMT 2025","1860","LMS system","Courses","Curses","","","Check displaying of empty courses list",""
"passed","Mon Nov 03 14:21:34 GMT 2025","Mon Nov 03 14:21:37 GMT 2025","2286","LMS system","Authentication","Registration","","","Registration with correct email and password",""
"passed","Mon Nov 03 14:22:04 GMT 2025","Mon Nov 03 14:22:04 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_login",""
"passed","Mon Nov 03 14:21:31 GMT 2025","Mon Nov 03 14:21:33 GMT 2025","1720","LMS system","Authentication","Registration","","","Registration with correct email and password",""
"passed","Mon Nov 03 14:21:30 GMT 2025","Mon Nov 03 14:21:31 GMT 2025","1531","LMS system","Authentication","Authorization","","","Navigate from login page to registration page",""
"passed","Mon Nov 03 14:22:04 GMT 2025","Mon Nov 03 14:22:04 GMT 2025","0","tests.pytest","test_markers","","","","test_regression_case",""
"passed","Mon Nov 03 14:21:07 GMT 2025","Mon Nov 03 14:21:11 GMT 2025","3458","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Mon Nov 03 14:21:15 GMT 2025","Mon Nov 03 14:21:17 GMT 2025","1747","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Mon Nov 03 14:22:06 GMT 2025","Mon Nov 03 14:22:08 GMT 2025","1405","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Mon Nov 03 14:21:20 GMT 2025","Mon Nov 03 14:21:26 GMT 2025","5822","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Mon Nov 03 14:21:27 GMT 2025","Mon Nov 03 14:21:29 GMT 2025","2403","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Mon Nov 03 14:21:08 GMT 2025","Mon Nov 03 14:21:10 GMT 2025","2173","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Mon Nov 03 14:22:04 GMT 2025","Mon Nov 03 14:22:04 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_password_reset",""
"passed","Mon Nov 03 14:22:04 GMT 2025","Mon Nov 03 14:22:04 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_logout",""
"passed","Mon Nov 03 14:21:02 GMT 2025","Mon Nov 03 14:21:04 GMT 2025","1773","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Mon Nov 03 14:21:29 GMT 2025","Mon Nov 03 14:21:30 GMT 2025","1463","LMS system","Authentication","Authorization","","","Navigate from login page to registration page",""
"passed","Mon Nov 03 14:22:03 GMT 2025","Mon Nov 03 14:22:05 GMT 2025","2085","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Mon Nov 03 14:21:46 GMT 2025","Mon Nov 03 14:21:50 GMT 2025","3750","LMS system","Courses","Curses","","","Create course",""
"passed","Mon Nov 03 14:21:02 GMT 2025","Mon Nov 03 14:21:05 GMT 2025","3159","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Mon Nov 03 14:21:31 GMT 2025","Mon Nov 03 14:21:34 GMT 2025","2052","LMS system","Authentication","Authorization","","","Navigate from login page to registration page",""
"passed","Mon Nov 03 14:21:12 GMT 2025","Mon Nov 03 14:21:14 GMT 2025","1787","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Mon Nov 03 14:21:42 GMT 2025","Mon Nov 03 14:21:45 GMT 2025","3258","LMS system","Courses","Curses","","","Create course",""
"passed","Mon Nov 03 14:21:48 GMT 2025","Mon Nov 03 14:21:52 GMT 2025","3980","LMS system","Courses","Curses","","","Create course",""
"passed","Mon Nov 03 14:21:55 GMT 2025","Mon Nov 03 14:22:01 GMT 2025","5592","LMS system","Courses","Curses","","","Creating a course and changing its data",""
"passed","Mon Nov 03 14:21:26 GMT 2025","Mon Nov 03 14:21:28 GMT 2025","2202","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Mon Nov 03 14:21:36 GMT 2025","Mon Nov 03 14:21:37 GMT 2025","1520","LMS system","Courses","Curses","","","Check displaying of empty courses list",""
"passed","Mon Nov 03 14:22:04 GMT 2025","Mon Nov 03 14:22:04 GMT 2025","0","tests.pytest","test_markers","","","","test_critical_login",""
"passed","Mon Nov 03 14:21:38 GMT 2025","Mon Nov 03 14:21:40 GMT 2025","2169","LMS system","Authentication","Registration","","","Registration with correct email and password",""
"passed","Mon Nov 03 14:21:23 GMT 2025","Mon Nov 03 14:21:25 GMT 2025","2048","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Mon Nov 03 14:21:50 GMT 2025","Mon Nov 03 14:21:54 GMT 2025","3769","LMS system","Courses","Curses","","","Creating a course and changing its data",""
"passed","Mon Nov 03 14:22:02 GMT 2025","Mon Nov 03 14:22:04 GMT 2025","1876","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Mon Nov 03 14:21:20 GMT 2025","Mon Nov 03 14:21:22 GMT 2025","1868","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Mon Nov 03 14:21:40 GMT 2025","Mon Nov 03 14:21:42 GMT 2025","2095","LMS system","Courses","Curses","","","Check displaying of empty courses list",""
"passed","Mon Nov 03 14:21:56 GMT 2025","Mon Nov 03 14:22:01 GMT 2025","5380","LMS system","Courses","Curses","","","Creating a course and changing its data",""
"passed","Mon Nov 03 14:21:04 GMT 2025","Mon Nov 03 14:21:06 GMT 2025","1645","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Mon Nov 03 14:22:04 GMT 2025","Mon Nov 03 14:22:04 GMT 2025","0","tests.pytest","test_markers","TestUserInterface","","","test_forgot_password_link",""
